AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,Breed,Color,AgeuponOutcome(Weeks)
A670681,Matty,2014-01-30 14:41:00,Transfer,Partner,Cat,Spayed Female,Domestic Shorthair Mix,Torbie,208.0
A699990,Chubbs,2015-04-08 18:06:00,Return_to_owner,,Dog,Neutered Male,Cairn Terrier Mix,Tan/White,208.0
A707767,Lilly,2015-07-19 18:27:00,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,9.0
A668362,Minnie,2013-12-20 12:02:00,Return_to_owner,,Dog,Spayed Female,Chihuahua Shorthair Mix,Black/Tan,104.0
A674577,Santiago,2014-03-23 18:43:00,Adoption,,Dog,Neutered Male,Dogo Argentino Mix,White,104.0
A674802,Franklin,2014-03-29 11:26:00,Return_to_owner,,Dog,Neutered Male,Dachshund Mix,Black/Brown,468.0
A672410,Myles,2014-02-11 18:16:00,Return_to_owner,,Dog,Neutered Male,Beagle Mix,Tricolor,260.0
A657753,Wiz,2013-12-06 16:53:00,Euthanasia,Aggressive,Dog,Neutered Male,Chihuahua Shorthair/Dachshund,Yellow Brindle/White,52.0
A663339,Abby,2013-10-20 16:37:00,Adoption,,Dog,Spayed Female,Pit Bull Mix,Fawn/White,104.0
A678229,,2014-05-06 15:59:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,3.0
A698694,Boss,2015-07-06 15:48:00,Transfer,Partner,Dog,Intact Male,Pit Bull Mix,White/Brown,22.5
A695971,,2015-01-26 16:23:00,Euthanasia,Suffering,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,312.0
A674233,Missy,2014-03-22 15:38:00,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,Tan,52.0
A713392,Basil,2015-11-05 00:00:00,Transfer,Partner,Dog,Intact Male,Chihuahua Shorthair Mix,Black/White,13.5
A713968,Katydid,2015-10-24 18:29:00,Transfer,Partner,Cat,Intact Female,Domestic Longhair Mix,Calico,4.5
A701428,Kiki,2015-05-03 16:59:00,Return_to_owner,,Dog,Spayed Female,Chihuahua Shorthair Mix,Brown,156.0
A676146,Desmo,2014-04-14 17:00:00,Return_to_owner,,Dog,Neutered Male,Dachshund Mix,Black,260.0
A679259,Pablo,2014-05-26 11:22:00,Adoption,,Dog,Neutered Male,Miniature Schnauzer/Miniature Poodle,Black,416.0
A688223,,2014-09-21 14:15:00,Adoption,Offsite,Dog,Spayed Female,Labrador Retriever Mix,Black/White,9.0
A691968,,2014-11-14 11:57:00,Euthanasia,Suffering,Cat,Intact Female,Domestic Shorthair Mix,Tortie,364.0
A688871,Pandora,2014-10-03 18:43:00,Adoption,,Cat,Intact Female,Domestic Shorthair Mix,Black,9.0
A674530,Jackson,2014-09-11 17:03:00,Adoption,,Dog,Neutered Male,Pit Bull,Black,260.0
A718604,Watson,2016-01-31 17:22:00,Adoption,,Dog,Neutered Male,Pit Bull Mix,White/Brown,52.0
A686520,,2014-08-24 09:00:00,Transfer,SCRP,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,13.5
A699094,Levon,2015-03-22 18:40:00,Return_to_owner,,Dog,Neutered Male,Chihuahua Shorthair Mix,Brown/White,104.0
A394547,Snickerdoodl,2015-01-25 11:15:00,Return_to_owner,,Dog,Spayed Female,Labrador Retriever Mix,Chocolate/White,468.0
A662685,Lola,2015-10-22 17:18:00,Adoption,,Dog,Spayed Female,Pit Bull Mix,Red/White,156.0
A713977,Jumbly,2015-10-26 18:39:00,Return_to_owner,,Cat,Spayed Female,Domestic Shorthair Mix,Calico,156.0
A707781,Pearl,2016-01-15 14:03:00,Adoption,,Dog,Spayed Female,Chihuahua Shorthair/Jack Russell Terrier,Black/White,52.0
A694699,Pebbles,2015-01-09 15:28:00,Transfer,Partner,Dog,Spayed Female,Chihuahua Shorthair Mix,Black/Tan,104.0
A696350,Minnie,2015-12-15 17:30:00,Return_to_owner,,Dog,Spayed Female,Pit Bull,Brown Brindle,52.0
A679102,Merlin,2014-06-10 16:41:00,Transfer,Partner,Cat,Neutered Male,Siamese Mix,Flame Point,104.0
A698341,Parsley,2015-05-16 15:19:00,Return_to_owner,,Dog,Spayed Female,Tibetan Terrier Mix,Brown,104.0
A681481,,2014-06-18 09:00:00,Transfer,SCRP,Cat,Intact Female,Domestic Shorthair Mix,Blue/White,104.0
A714177,,2015-10-20 09:00:00,Transfer,SCRP,Cat,Unknown,Domestic Shorthair Mix,Tortie,13.5
A689601,Abby,2014-11-23 18:55:00,Adoption,Foster,Dog,Spayed Female,Miniature Pinscher/Chihuahua Shorthair,Tricolor,4.5
A685062,,2014-08-05 13:20:00,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White,9.0
A672453,,2014-02-16 19:38:00,Adoption,Offsite,Cat,Neutered Male,Domestic Medium Hair Mix,Cream Tabby,45.0
A719480,Ricky,2016-02-09 16:31:00,Transfer,Partner,Cat,Spayed Female,Domestic Medium Hair Mix,Brown Tabby/White,104.0
A702880,Tom,2015-06-28 15:33:00,Adoption,,Cat,Spayed Female,Domestic Medium Hair Mix,Calico,9.0
A714494,Amarillo,2015-11-01 19:11:00,Adoption,,Dog,Neutered Male,Labrador Retriever Mix,Yellow,27.0
A711853,Nala,2015-11-07 19:14:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,9.0
A688720,,2014-09-26 18:09:00,Adoption,,Dog,Spayed Female,Dachshund Mix,Tan,52.0
A689690,Winnie,2014-10-22 14:37:00,Transfer,Partner,Dog,Intact Female,Dachshund Mix,Brown/White,27.0
A679915,Luna,2014-06-01 17:48:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Black/White,52.0
A687991,,2014-09-12 18:38:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Calico,3.0
A707896,Tokyo,2016-02-19 14:58:00,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,104.0
A702014,Diamond,2015-11-14 13:30:00,Adoption,,Dog,Spayed Female,Blue Lacy Mix,Blue/White,49.5
A673626,,2014-03-03 16:58:00,Transfer,Partner,Dog,Neutered Male,Rat Terrier Mix,Tricolor,13.5
A652097,Minnie,2014-02-10 12:34:00,Return_to_owner,,Dog,Spayed Female,Dachshund Longhair,Brown,104.0
A685180,Neville,2014-09-27 12:25:00,Transfer,Partner,Dog,Neutered Male,Pit Bull Mix,Red,104.0
A707442,Conrad,2015-08-15 11:32:00,Adoption,,Dog,Neutered Male,Pit Bull Mix,Brown/White,104.0
A682599,Shiva,2014-07-03 18:45:00,Adoption,,Cat,Spayed Female,Domestic Longhair,Calico,18.0
A685452,,2014-08-11 15:17:00,Transfer,Partner,Dog,Intact Female,Dachshund/Chihuahua Shorthair,Red,18.0
A688067,,2014-09-15 09:00:00,Transfer,SCRP,Cat,Intact Female,Domestic Shorthair Mix,Torbie,22.5
A714069,Jupiter,2015-12-16 11:28:00,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Black Tabby/White,9.0
A705924,Nero,2015-07-29 15:41:00,Transfer,Partner,Dog,Neutered Male,Chihuahua Shorthair Mix,Brown/White,364.0
A717167,Oscar,2016-01-23 16:05:00,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,208.0
A711639,,2015-09-10 11:35:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Tortie/Calico,3.0
A716760,Dasher,2015-12-06 17:08:00,Adoption,,Dog,Neutered Male,Border Collie Mix,Black/White,27.0
A709048,Libby,2015-08-08 17:58:00,Adoption,,Dog,Intact Female,Labrador Retriever Mix,Black/White,22.5
A719048,Gracie,2016-01-13 11:43:00,Return_to_owner,,Dog,Spayed Female,Maltese,White,416.0
A707437,,2015-07-19 17:26:00,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Black,9.0
A706387,Sugar,2015-07-06 18:05:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Blue Tabby/White,4.5
A720668,,2016-02-15 18:30:00,Return_to_owner,,Dog,Spayed Female,Labrador Retriever Mix,White,22.5
A679341,Jethro,2014-05-31 13:58:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,4.5
A690519,,2014-10-23 09:00:00,Transfer,SCRP,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby,18.0
A708769,Keyla,2015-08-01 11:54:00,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,White/Tan,52.0
A681462,Samson,2014-08-10 16:25:00,Adoption,,Dog,Neutered Male,Labrador Retriever/Rottweiler,Black/Brown,104.0
A666444,August,2013-11-04 15:50:00,Transfer,Partner,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,572.0
A701153,,2015-06-25 09:31:00,Adoption,Foster,Dog,Neutered Male,Dachshund/Manchester Terrier,Tricolor,9.0
A710071,Herb,2015-09-01 00:00:00,Transfer,Partner,Cat,Neutered Male,Domestic Shorthair Mix,White/Black,9.0
A714602,Stripey,2015-10-29 18:44:00,Adoption,,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,9.0
A700707,Sallie,2015-04-20 14:41:00,Adoption,,Dog,Spayed Female,Plott Hound/Labrador Retriever,Black/Brown Brindle,4.5
A702563,Klo Dog,2015-05-25 11:26:00,Return_to_owner,,Dog,Spayed Female,Chihuahua Shorthair/Rat Terrier,White/Tan,364.0
A679441,,2014-05-21 13:47:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Cream Tabby/White,0.5714285714285714
A715729,Milo,2015-11-09 13:24:00,Return_to_owner,,Dog,Neutered Male,Siberian Husky,White/Gray,208.0
A716575,Scarlet,2015-12-22 00:00:00,Transfer,Partner,Dog,Spayed Female,Australian Cattle Dog Mix,Tan/White,104.0
A714462,Pebbles,2015-11-14 13:26:00,Return_to_owner,,Dog,Spayed Female,Pointer Mix,White/Black,52.0
A717429,Cairo,2015-12-09 17:05:00,Return_to_owner,,Dog,Neutered Male,Pit Bull Mix,Brown Brindle/White,104.0
A687336,,2014-09-03 18:51:00,Transfer,Partner,Cat,Intact Female,Domestic Medium Hair Mix,Brown Tabby,4.0
A713364,Calypso,2015-11-13 11:53:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Black/White,52.0
A701999,Luna,2015-05-12 17:39:00,Adoption,,Dog,Spayed Female,Yorkshire Terrier/Miniature Poodle,Tan/Silver,104.0
A664304,,2013-10-03 12:27:00,Transfer,SCRP,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,45.0
A698066,Diva,2015-03-07 12:50:00,Transfer,Partner,Dog,Spayed Female,German Shepherd Mix,White,208.0
A680585,Olivia,2014-07-16 17:48:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby/White,18.0
A699715,Ashley,2015-05-13 11:51:00,Transfer,Partner,Dog,Spayed Female,Catahoula/Labrador Retriever,White/Tan,312.0
A702246,,2015-05-15 17:47:00,Adoption,,Dog,Spayed Female,Miniature Poodle Mix,Black/White,40.5
A711918,Jaqueline,2015-09-19 14:33:00,Adoption,,Dog,Spayed Female,Jack Russell Terrier/Pit Bull,Red,156.0
A676430,Tabitha,2014-11-23 12:43:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Torbie,36.0
A677577,Roxie,2014-05-01 16:12:00,Adoption,,Dog,Spayed Female,Queensland Heeler/Shetland Sheepdog,Red Tick/Black,45.0
A683666,,2015-09-01 00:00:00,Transfer,Partner,Cat,Neutered Male,Domestic Shorthair Mix,White/Cream Tabby,52.0
A713754,Harper,2015-10-27 16:44:00,Adoption,,Dog,Neutered Male,Catahoula Mix,Blue Merle,52.0
A703631,Hanley,2015-07-03 18:50:00,Adoption,,Dog,Neutered Male,Labrador Retriever Mix,Black/White,52.0
A676209,Boomer,2014-07-24 15:02:00,Adoption,Foster,Dog,Neutered Male,Labrador Retriever Mix,Yellow,13.5
A667508,Brownie,2013-11-19 18:30:00,Return_to_owner,,Dog,Intact Male,Chihuahua Shorthair Mix,Chocolate/Tan,312.0
A671105,,2014-01-21 15:20:00,Transfer,SCRP,Cat,Unknown,Domestic Longhair Mix,Black,52.0
A676056,Swisha,2014-04-10 10:13:00,Return_to_owner,,Dog,Neutered Male,American Pit Bull Terrier Mix,Tan/White,104.0
A667963,,2013-11-30 18:48:00,Adoption,,Dog,Spayed Female,Dachshund Longhair Mix,Tan/White,260.0
A702207,,2015-05-10 17:16:00,Euthanasia,Suffering,Cat,Neutered Male,Domestic Longhair Mix,Orange Tabby/White,624.0
A672065,Dutchess,2014-04-08 12:50:00,Adoption,,Dog,Spayed Female,German Shepherd Mix,Sable,104.0
A688852,Buddy,2014-10-18 18:48:00,Adoption,,Dog,Neutered Male,Labrador Retriever Mix,Black/White,312.0
A705885,Meowser,2015-06-27 18:24:00,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Black,13.5
A670949,Cassie,2014-02-01 11:13:00,Return_to_owner,,Dog,Spayed Female,Doberman Pinsch Mix,Tricolor,36.0
A665666,Teddy,2013-12-27 15:49:00,Transfer,Partner,Cat,Neutered Male,Domestic Shorthair Mix,Black,52.0
A714575,Isis,2015-10-31 15:18:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Black,780.0
A690480,,2014-10-22 17:46:00,Transfer,Partner,Dog,Intact Female,Pointer Mix,Chocolate/White,3.0
A691636,Dali,2014-11-13 16:07:00,Adoption,,Dog,Neutered Male,Dachshund/Jack Russell Terrier,White/Brown,22.5
A678482,,2014-05-14 19:15:00,Adoption,,Dog,Neutered Male,Miniature Poodle/Miniature Schnauzer,Black/White,104.0
A687785,Bella,2014-12-30 09:38:00,Adoption,Foster,Dog,Spayed Female,Whippet Mix,Brown Brindle/White,104.0
A716839,Dino,2015-11-27 14:06:00,Return_to_owner,,Dog,Intact Male,Australian Shepherd Mix,Brown Merle/White,104.0
A718547,,2016-01-11 14:23:00,Adoption,,Dog,Spayed Female,Labrador Retriever Mix,Tan/White,104.0
A687989,,2014-09-12 18:38:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Calico,3.0
A694408,Emma,2015-05-28 13:14:00,Transfer,Partner,Dog,Spayed Female,Pit Bull Mix,Brown Tiger/White,52.0
A698940,,2015-03-21 09:00:00,Transfer,SCRP,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,104.0
A666074,Jackson,2013-10-30 15:14:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,4.0
A675549,Marco,2014-04-08 15:29:00,Transfer,Partner,Dog,Neutered Male,Chihuahua Shorthair Mix,White/Brown,208.0
A682131,,2014-06-24 19:15:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,3.0
A674737,Byron,2014-05-27 08:21:00,Adoption,Foster,Cat,Intact Male,Domestic Shorthair Mix,Black,9.0
